Test time_s,Standard travel_mm,Standard force_N
83.388,5.0549014,0.45814
83.52,5.0550208,0.470364
83.652,5.0551404,0.467766
83.772,5.0552202,0.45743
83.904,5.0553198,0.468256
84.036,5.0554394,0.472096
84.168,5.055519,0.462588
84.288,5.0555988,0.470218
84.42,5.0557184,0.465832
84.552,5.055818,0.458978
84.672,5.0558976,0.47996
84.804,5.0560572,0.465254
84.936,5.056097,0.473058
85.068,5.0561766,0.477596
85.188,5.0563162,0.460724
85.32,5.0564158,0.480486
85.452,5.0564956,0.464926
85.572,5.0565952,0.466294
85.704,5.0566948,0.471336
85.836,5.0567944,0.46027
85.968,5.0569738,0.47764
86.088,5.0570136,0.478702
86.22,5.0570734,0.472056
86.352,5.057193,0.477222
86.472,5.0572926,0.483726
86.604,5.0573724,0.470812
86.736,5.0575118,0.473002
86.868,5.0576314,0.483764
86.988,5.0576912,0.473852
87.12,5.0577908,0.47428
87.252,5.0579104,0.483268
87.372,5.05803,0.48291
87.504,5.0581096,0.481632
87.636,5.0582092,0.485222
87.768,5.058309,0.463312
87.888,5.0584086,0.482766
88.02,5.0584882,0.478676
88.152,5.0586078,0.473846
88.272,5.0587274,0.490002
88.404,5.0588072,0.477006
88.536,5.0589068,0.477782
88.668,5.0590462,0.483864
88.788,5.059106,0.470436
88.92,5.0592056,0.489512
89.052,5.0592854,0.48655
89.172,5.059365,0.476934
89.304,5.0595046,0.48584
89.436,5.0596242,0.492102
89.568,5.0597238,0.482034
89.688,5.0597836,0.503194
89.82,5.0599032,0.486942
89.952,5.0599828,0.478644
90.072,5.0600824,0.495014
90.204,5.060202,0.485134
90.336,5.0602818,0.480222
90.468,5.0604014,0.494188
90.588,5.0605208,0.484678
90.72,5.0606604,0.491006
90.852,5.0606804,0.503406
90.972,5.06074,0.490324
91.104,5.0608796,0.48905
91.236,5.061019,0.491678
91.368,5.0611188,0.481748
91.488,5.0611784,0.489276
91.62,5.0612582,0.504404
91.752,5.0613578,0.484272
91.872,5.0614774,0.496968
92.004,5.061597,0.48797
92.136,5.0617364,0.482894
92.268,5.0618162,0.498744
92.388,5.061876,0.493136
92.52,5.0620154,0.488526
92.652,5.062135,0.505438
92.772,5.0622148,0.486274
92.904,5.0622944,0.501506
93.036,5.0623742,0.502398
93.168,5.0625136,0.498418
93.288,5.0626332,0.502802
93.42,5.062713,0.505886
93.552,5.0627926,0.499756
93.672,5.0628922,0.515082
93.804,5.0630118,0.50333
93.936,5.0631314,0.49158
94.068,5.0631912,0.502918
94.188,5.0633108,0.497566
94.32,5.0633506,0.504058
94.452,5.06353,0.51399
94.572,5.0636096,0.508274
94.704,5.0636894,0.506138
94.836,5.063769,0.506286
94.968,5.0638886,0.495214
95.088,5.0639684,0.511128
95.22,5.0641278,0.509018
95.352,5.0642274,0.50305
95.472,5.0642672,0.518194
95.604,5.064347,0.50446
95.736,5.0645064,0.509542
95.868,5.064606,0.509718
95.988,5.0646858,0.505104
96.12,5.0647854,0.506982
96.252,5.064885,0.506134
96.372,5.0649448,0.498474
96.504,5.0650644,0.5132
96.636,5.0652238,0.512148
96.768,5.0652836,0.505412
96.888,5.0653832,0.522174
97.02,5.0654828,0.506212
97.152,5.0655826,0.508952
97.272,5.065702,0.525222
97.404,5.0658018,0.502554
97.536,5.0659212,0.510334
97.668,5.065981,0.51701
97.788,5.0660608,0.49984
97.92,5.0661604,0.516278
98.052,5.0663398,0.52099
98.172,5.0664194,0.505148
98.304,5.0664594,0.523844
98.436,5.0665788,0.511926
98.568,5.0666786,0.508492
98.688,5.0667782,0.528986
98.82,5.0668978,0.511658
98.952,5.0669974,0.511432
99.072,5.067077,0.517434
99.204,5.0671966,0.50821
99.336,5.0672962,0.513828
99.468,5.067396,0.538554
99.588,5.0674956,0.512294
99.72,5.0675752,0.521668
99.852,5.0676748,0.528168
99.972,5.0677944,0.52472
100.104,5.0678942,0.530024
100.236,5.0679538,0.525624
100.368,5.0680536,0.513228
100.488,5.0681332,0.523442
100.62,5.0682728,0.5148
100.752,5.0683724,0.525314
100.872,5.068472,0.529016
101.004,5.0685318,0.528188
101.136,5.0686514,0.527496
101.268,5.0688306,0.53669
101.388,5.0688904,0.523784
101.52,5.0689902,0.520976
101.652,5.0690898,0.528436
101.772,5.0691894,0.522802
101.904,5.0692692,0.531984
102.036,5.0693886,0.537302
102.168,5.0694884,0.523876
102.288,5.069588,0.534964
102.42,5.0696876,0.54005
102.552,5.0697872,0.521216
102.672,5.069867,0.53647
102.804,5.0700264,0.538118
102.936,5.0700862,0.51729
103.068,5.0701858,0.545966
103.188,5.0702654,0.533018
103.32,5.070385,0.528118
103.452,5.0704846,0.546994
103.572,5.0705844,0.530468
103.704,5.070684,0.525492
103.836,5.0708036,0.54812
103.968,5.0708832,0.52781
104.088,5.070963,0.541306
104.22,5.0710626,0.540888
104.352,5.0711822,0.521052
104.472,5.0713216,0.537776
104.604,5.0714014,0.541068
104.736,5.071481,0.526714
104.868,5.0715408,0.551164
104.988,5.0716206,0.532546
105.12,5.07178,0.533034
105.252,5.0718996,0.54216
105.372,5.0719594,0.540276
105.504,5.072059,0.542236
105.636,5.0721386,0.543582
105.768,5.0722184,0.527566
105.888,5.0724176,0.538178
106.02,5.0725174,0.543486
106.152,5.0725572,0.535486
106.272,5.0726768,0.538576
106.404,5.0727764,0.5494
106.536,5.072876,0.534776
106.668,5.0729558,0.556738
106.788,5.0730752,0.545196
106.92,5.0731948,0.544092
107.052,5.0732746,0.551116
107.172,5.0733742,0.54581
107.304,5.0734738,0.54086
107.436,5.0735734,0.561392
107.568,5.0736732,0.53528
107.688,5.0737528,0.551274
107.82,5.0738724,0.547364
107.952,5.073972,0.530038
108.072,5.0740518,0.548906
108.204,5.0741514,0.53858
108.336,5.074271,0.5497
108.468,5.0743906,0.559684
108.588,5.0744702,0.545306
108.72,5.07455,0.555056
108.852,5.0746894,0.556148
108.972,5.074789,0.546974
109.104,5.0748488,0.55894
109.236,5.0749884,0.556868
109.368,5.075068,0.542398
109.488,5.0751676,0.557088
109.62,5.0752474,0.547336
109.752,5.075327,0.545018
109.872,5.0754666,0.548558
110.004,5.075606,0.554638
110.136,5.075646,0.54025
110.268,5.0757058,0.562436
110.388,5.0757854,0.550116
110.52,5.0760046,0.549694
110.652,5.076164,0.566292
110.772,5.076184,0.553572
110.904,5.076204,0.5534
111.036,5.0763634,0.56487
111.168,5.0765228,0.552304
111.288,5.0766024,0.563968
111.42,5.0766424,0.562652
111.552,5.076742,0.553412
111.672,5.0768616,0.562532
111.804,5.0769412,0.555878
111.936,5.0770608,0.55361
112.068,5.0772002,0.560048
112.188,5.0772402,0.552266
112.32,5.0774394,0.5534
112.452,5.0774594,0.567074
112.572,5.0775192,0.55233
112.704,5.0776586,0.5642
112.836,5.0777982,0.572934
112.968,5.0778578,0.562116
113.088,5.0779576,0.562276
113.22,5.0780572,0.566232
113.352,5.0781768,0.560442
113.472,5.0782366,0.563422
113.604,5.078356,0.575256
113.736,5.0784558,0.559996
113.868,5.0785752,0.565426
113.988,5.078655,0.561276
114.12,5.0787546,0.560502
114.252,5.0788344,0.573566
114.372,5.078914,0.558026
114.504,5.0790138,0.564546
114.636,5.0791732,0.57726
114.768,5.0792528,0.56129
114.888,5.0793524,0.568044
115.02,5.0794122,0.578264
115.152,5.0795318,0.561898
115.272,5.079751,0.572758
115.404,5.0798108,0.564772
115.536,5.0798506,0.566948
115.668,5.0799104,0.573022
115.788,5.08005,0.568758
115.92,5.0801696,0.569496
116.052,5.0802492,0.576038
116.172,5.0803488,0.562372
116.304,5.0804684,0.582768
116.436,5.080568,0.585906
116.568,5.0806676,0.56644
116.688,5.0807674,0.577564
116.82,5.0808272,0.572922
116.952,5.0809466,0.562034
117.072,5.0810662,0.569644
117.204,5.0811858,0.57334
117.336,5.0812656,0.568858
117.468,5.0813652,0.585088
117.588,5.0814648,0.582758
117.72,5.0815446,0.572532
117.852,5.081664,0.589648
117.972,5.0817438,0.591278
118.104,5.0818434,0.573914
118.236,5.081963,0.578512
118.368,5.0820626,0.564024
118.488,5.0821424,0.57137
118.62,5.082262,0.5844
118.752,5.0823616,0.576018
118.872,5.0824612,0.57805
119.004,5.082521,0.584706
119.136,5.0826006,0.58143
119.268,5.0827402,0.59012
119.388,5.0828598,0.591002
119.52,5.0829196,0.58022
119.652,5.0830192,0.584846
119.772,5.0830988,0.584912
119.904,5.0832582,0.577068
120.036,5.0833978,0.59648
120.168,5.0834376,0.58595
120.288,5.0835372,0.579524
120.42,5.0836568,0.597622
120.552,5.0837764,0.581854
120.672,5.0838562,0.592014
120.804,5.0839358,0.598974
120.936,5.0840554,0.575152
121.068,5.084155,0.588186
121.188,5.0842546,0.587016
121.32,5.0843742,0.574182
121.452,5.084454,0.600932
121.572,5.0845536,0.590324
121.704,5.0846532,0.585842
121.836,5.084733,0.597088
121.968,5.0848724,0.58533
122.088,5.0849522,0.584994
122.22,5.0850318,0.5926
122.352,5.0851314,0.587262
122.472,5.085251,0.58391
122.604,5.0853506,0.59409
122.736,5.0854504,0.588574
122.868,5.08555,0.594526
122.988,5.0856496,0.601128
123.12,5.085789,0.587086
123.252,5.0858488,0.591636
123.372,5.0859286,0.59608
123.504,5.0860282,0.580214
123.636,5.086108,0.597224
123.768,5.0862474,0.597592
123.888,5.086367,0.591672
124.02,5.0864268,0.60647
124.152,5.0865064,0.601812
124.272,5.086626,0.596854
124.404,5.0866858,0.602408
124.536,5.086925,0.596554
124.668,5.0869648,0.59795
124.788,5.0870046,0.609484
124.92,5.0871442,0.589784
125.052,5.0872438,0.599076
125.172,5.0873236,0.5998
125.304,5.0874232,0.593148
125.436,5.0875428,0.601736
125.568,5.0877022,0.59866
125.688,5.087762,0.596894
125.82,5.0878218,0.603684
125.952,5.0879412,0.59316
126.072,5.088041,0.595174
126.204,5.0881604,0.606008
126.336,5.0882402,0.597978
126.468,5.0883398,0.603982
126.588,5.0884394,0.611416
126.72,5.088539,0.601574
126.852,5.0886188,0.602496
126.972,5.0887184,0.607308
127.104,5.088838,0.587824
127.236,5.0889576,0.604972
127.368,5.0890572,0.613254
127.488,5.089117,0.5949
127.62,5.0892564,0.611208
127.752,5.0893562,0.612412
127.872,5.0894358,0.604594
128.004,5.0895354,0.606036
128.136,5.0896352,0.602578
128.268,5.0897348,0.603606
128.388,5.0897946,0.605354
128.52,5.089934,0.59795
128.652,5.0900536,0.609284
128.772,5.0901134,0.61353
128.904,5.090193,0.599896
129.036,5.0902728,0.61484
129.168,5.0904322,0.607924
